timestamp,host,value
1493339681,s01,0.03
1493339690,h02,0.4
1493339690,h03,0.78
1493339690,h01,0.45
1493339691,s01,0.03
1493339700,h01,0.97
1493339700,h03,0.73
1493339700,h02,1.07
1493339701,s01,0.02
1493339710,h02,0.91
1493339710,h03,0.77
1493339710,h01,1.63
1493339711,s01,0.02
1493339720,h01,1.6
1493339720,h03,0.88
1493339720,h02,0.92
1493339721,s01,0.01
1493339730,h02,0.77
1493339730,h03,0.75
1493339730,h01,1.5
1493339731,s01,0.01
1493339740,h01,1.42
1493339740,h03,0.63
1493339740,h02,0.73
1493339741,s01,0.01
1493339750,h02,0.69
1493339750,h03,0.61
1493339750,h01,1.57
1493339751,s01,0.01
1493339760,h01,1.55
1493339760,h03,0.52
1493339770,h02,0.8
1493339770,h03,0.44
1493339770,h01,1.54
1493339771,s01,0
1493339780,h01,1.6
1493339780,h03,0.37
1493339780,h02,0.75
1493339781,s01,0
1493339790,h02,0.79
1493339790,h03,0.31
1493339790,h01,1.43
1493339791,s01,0
1493339800,h01,1.8
1493339800,h03,0.26
1493339800,h02,0.82
1493339801,s01,0
1493339810,h02,0.77
1493339810,h03,0.46
1493339810,h01,1.59
1493339811,s01,0
1493339820,h01,1.5
1493339820,h03,0.71
1493339820,h02,0.65
1493339821,s01,0.08
1493339830,h02,0.55
1493339830,h03,0.75
1493339830,h01,1.63
1493339831,s01,0.07
1493339840,h01,1.93
1493339840,h03,0.78
1493339840,h02,0.62
1493339841,s01,0.06
1493339850,h02,0.75
1493339850,h03,0.9
1493339850,h01,2.02
1493339851,s01,0.05
1493339860,h01,1.93
1493339860,h03,1.22
1493339860,h02,0.94
1493339861,s01,0.04
1493339870,h02,0.94
1493339870,h03,1.18
1493339870,h01,1.71
1493339871,s01,0.03
1493339880,h01,1.81
1493339880,h03,1
1493339880,h02,1.04
1493339881,s01,0.03
1493339890,h02,1.03
1493339890,h03,0.92
1493339890,h01,1.54
1493339891,s01,0.02
1493339900,h01,1.45
1493339900,h03,0.77
1493339900,h02,0.87
1493339901,s01,0.02
1493339910,h02,1.04
1493339910,h03,0.65
1493339910,h01,1.52
1493339911,s01,0.16
1493339920,h01,1.44
1493339920,h03,0.71
1493339920,h02,0.88
1493339921,s01,0.14
1493339930,h02,0.74
1493339930,h03,0.6
1493339930,h01,1.36
1493339931,s01,0.12
1493339940,h01,1.3
1493339940,h03,0.51
1493339940,h02,0.63
1493339941,s01,0.1
1493339950,h02,0.53
1493339950,h03,0.43
1493339950,h01,1.41
1493339951,s01,0.08
1493339960,h01,1.86
1493339960,h03,0.36
1493339960,h02,0.68
1493339961,s01,0.07
1493339970,h02,0.79
1493339970,h03,0.31
1493339970,h01,1.72
1493339971,s01,0.06
1493339980,h01,1.53
1493339980,h03,0.57
1493339980,h02,0.83
1493339981,s01,0.05
1493339990,h02,0.7
1493339990,h03,0.64
1493339990,h01,1.29
1493339991,s01,0.04
1493340000,h01,1.69
1493340000,h03,1.25
1493340000,h02,0.59
1493340001,s01,0.03
1493340010,h02,0.72
1493340010,h03,1.28
1493340010,h01,1.8
1493340011,s01,0.03
1493340020,h01,1.67
1493340020,h03,1.16
1493340020,h02,0.61
1493340021,s01,0.02
1493340030,h02,0.52
1493340030,h03,1.13
1493340030,h01,1.71
1493340031,s01,0.02
1493340040,h01,1.74
1493340040,h03,1.18
1493340040,h02,0.44
1493340041,s01,0.02
1493340050,h02,0.44
1493340050,h03,1
1493340050,h01,1.69
1493340051,s01,0.01
1493340060,h01,1.43
1493340060,h03,0.93
1493340060,h02,1.04
1493340061,s01,0.01
1493340070,h02,0.88
1493340070,h03,0.93
1493340070,h01,1.29
1493340071,s01,0.01
1493340080,h01,1.54
1493340080,h03,0.87
1493340080,h02,0.82
1493340081,s01,0.01
1493340090,h02,0.92
1493340090,h03,0.89
1493340090,h01,1.53
1493340091,s01,0
1493340100,h01,1.67
1493340100,h03,0.75
1493340100,h02,1.09
1493340101,s01,0
1493340110,h02,1.16
1493340110,h03,0.72
1493340110,h01,1.64
1493340111,s01,0
1493340120,h01,2.2
1493340120,h03,0.69
1493340120,h02,1.21
1493340121,s01,0
1493340130,h02,1.17
1493340130,h03,0.89
1493340130,h01,2.08
1493340131,s01,0
1493340140,h01,2.06
1493340140,h03,0.76
1493340140,h02,1.15
1493340141,s01,0
1493340150,h02,1.2
1493340150,h03,0.79
1493340150,h01,2.05
1493340151,s01,0
1493340160,h01,2.19
1493340160,h03,0.75
1493340160,h02,1.72
1493340161,s01,0
1493340170,h02,2.21
1493340170,h03,0.93
1493340170,h01,2
1493340171,s01,0
1493340180,h01,1.85
1493340180,h03,1.17
1493340180,h02,2.46
1493340181,s01,0
1493340190,h02,2.16
1493340190,h03,1.22
1493340190,h01,1.57
1493340191,s01,0
1493340200,h01,1.41
1493340200,h03,1.04
1493340200,h02,1.83
1493340201,s01,0
1493340210,h02,1.62
1493340210,h03,0.88
1493340210,h01,1.19
1493340211,s01,0
1493340220,h01,1.01
1493340220,h03,1.04
1493340220,h02,1.97
1493340221,s01,0
1493340230,h02,1.82
1493340230,h03,1.03
1493340230,h01,1.01
1493340231,s01,0
1493340240,h01,1.59
1493340240,h03,1.03
1493340240,h02,1.69
1493340241,s01,0
1493340250,h02,1.59
1493340250,h03,1.02
1493340250,h01,1.5
1493340251,s01,0
1493340260,h01,1.65
1493340260,h03,1.17
1493340260,h02,1.57
1493340261,s01,0
1493340270,h02,1.56
1493340270,h03,1.37
1493340270,h01,1.71
1493340271,s01,0
1493340280,h01,1.68
1493340280,h03,1.31
1493340280,h02,1.55
1493340281,s01,0
1493340290,h02,1.38
1493340290,h03,1.34
1493340290,h01,1.79
1493340291,s01,0
1493340300,h01,1.75
1493340300,h03,1.29
1493340300,h02,1.33
1493340301,s01,0
1493340310,h02,1.35
1493340310,h03,1.24
1493340310,h01,1.7
1493340311,s01,0
1493340320,h01,1.68
1493340320,h03,1.28
1493340320,h02,1.44
1493340321,s01,0
1493340330,h02,1.37
1493340330,h03,1.32
1493340330,h01,1.57
1493340331,s01,0
1493340340,h01,1.48
1493340340,h03,1.35
1493340340,h02,1.54
1493340341,s01,0
1493340350,h02,1.37
1493340350,h03,1.92
1493340350,h01,1.57
1493340351,s01,0
1493340360,h01,1.48
1493340360,h03,2.3
1493340360,h02,2.04
1493340361,s01,0
1493340370,h02,2.52
1493340370,h03,2.1
1493340370,h01,1.41
1493340371,s01,0
1493340380,h01,1.42
1493340380,h03,1.93
1493340380,h02,2.36
1493340381,s01,0
1493340390,h02,2.39
1493340390,h03,1.86
1493340390,h01,1.59
1493340391,s01,0
1493340400,h01,1.64
1493340400,h03,1.73
1493340400,h02,2.17
1493340401,s01,0
1493340410,h02,2.06
1493340410,h03,1.62
1493340410,h01,1.54
1493340411,s01,0
1493340420,h01,1.53
1493340420,h03,1.6
1493340420,h02,1.82
1493340421,s01,0
1493340430,h02,1.54
1493340430,h03,1.36
1493340430,h01,1.29
1493340431,s01,0
1493340440,h01,1.26
1493340440,h03,1.22
1493340440,h02,1.38
1493340441,s01,0
1493340450,h02,1.17
1493340450,h03,1.03
1493340450,h01,1.06
1493340451,s01,0.07
1493340460,h01,0.9
1493340460,h03,0.95
1493340460,h02,1.07
1493340461,s01,0.06
1493340470,h02,1.52
1493340470,h03,1.19
1493340470,h01,0.91
1493340471,s01,0.05
1493340480,h01,0.93
1493340480,h03,1.16
1493340480,h02,1.44
1493340481,s01,0.04
1493340490,h02,1.45
1493340490,h03,1.29
1493340490,h01,1.09
1493340491,s01,0.04
1493340500,h01,1.16
1493340500,h03,1.47
1493340500,h02,1.6
1493340501,s01,0.03
1493340510,h02,1.66
1493340510,h03,1.32
1493340510,h01,1.22
1493340511,s01,0.02
1493340520,h01,1.35
1493340520,h03,1.67
1493340520,h02,1.64
1493340521,s01,0.02
1493340530,h02,1.69
1493340530,h03,1.79
1493340530,h01,1.6
1493340531,s01,0.02
1493340540,h01,1.9
1493340540,h03,2.06
1493340540,h02,1.58
1493340541,s01,0.16
1493340550,h02,1.5
1493340550,h03,2.05
1493340550,h01,2.14
1493340551,s01,0.14
1493340560,h01,1.96
1493340560,h03,1.97
1493340560,h02,1.42
1493340561,s01,0.11
1493340570,h02,1.36
1493340570,h03,1.82
1493340570,h01,1.82
1493340571,s01,0.26
1493340580,h01,1.99
1493340580,h03,1.69
1493340580,h02,1.45
1493340581,s01,0.22
